n,time,ln(n)
43100000,875,1436.118453
43200000,1333,1436.452798
43300000,1458,1436.786369
43400000,1625,1437.119171
43500000,2125,1437.451207
43600000,1541,1437.78248
43700000,1292,1438.112994
43800000,1750,1438.442753
43900000,1000,1438.77176
44000000,1250,1439.100019
44100000,958,1439.427532
44200000,1166,1439.754303
44300000,1333,1440.080336
44400000,584,1440.405634
44500000,1500,1440.7302
44600000,1959,1441.054037
44700000,1667,1441.37715
44800000,1333,1441.69954
44900000,1583,1442.021211
45000000,375,1442.342167
45100000,1166,1442.66241
45200000,1750,1442.981944
45300000,1834,1443.300771
45400000,1708,1443.618896
45500000,1542,1443.936321
45600000,1458,1444.253049
45700000,1291,1444.569083
45800000,1250,1444.884426
45900000,1417,1445.199082
46000000,1625,1445.513053
46100000,666,1445.826341
46200000,1917,1446.138952
46300000,1709,1446.450886
46400000,1584,1446.762147
46500000,1291,1447.072738
46600000,1542,1447.382662
46700000,1667,1447.691921
46800000,1500,1448.000519
46900000,1000,1448.308459
47000000,1291,1448.615742
47100000,1209,1448.922372
47200000,1167,1449.228352
47300000,1417,1449.533685
47400000,1042,1449.838372
47500000,1458,1450.142418
47600000,1291,1450.445824
47700000,1375,1450.748593
47800000,1209,1451.050728
47900000,708,1451.352232
48000000,1750,1451.653107
48100000,1542,1451.953356
48200000,875,1452.252981
48300000,1542,1452.551985
48400000,1375,1452.850371
48500000,2500,1453.148141
48600000,1458,1453.445298
48700000,1500,1453.741844
48800000,1500,1454.037781
48900000,1417,1454.333113
49000000,917,1454.627841
49100000,1541,1454.921969
49200000,1167,1455.215498
49300000,1625,1455.508431
49400000,959,1455.800771
49500000,1084,1456.092519
49600000,1625,1456.383678
49700000,1791,1456.674252
49800000,1417,1456.964241
49900000,1500,1457.253648
50000000,1833,1457.542476
50100000,1000,1457.830727
50200000,1583,1458.118403
50300000,1292,1458.405506
50400000,1708,1458.69204
50500000,1167,1458.978005
50600000,1625,1459.263405
50700000,1708,1459.548241
50800000,1333,1459.832516
50900000,1666,1460.116232
51000000,1500,1460.399391
51100000,1125,1460.681996
51200000,1500,1460.964047
51300000,1416,1461.245549
51400000,792,1461.526502
51500000,1458,1461.80691
51600000,875,1462.086773
51700000,1750,1462.366094
51800000,1625,1462.644876
51900000,1208,1462.92312
52000000,1375,1463.200829
52100000,1458,1463.478004
52200000,750,1463.754647
52300000,1209,1464.030761
52400000,1500,1464.306348
52500000,1625,1464.581409
52600000,1834,1464.855946
52700000,1542,1465.129963
52800000,1500,1465.403459
52900000,1625,1465.676439
53000000,1167,1465.948902
53100000,1208,1466.220853
53200000,1542,1466.492291
53300000,1667,1466.76322
53400000,1750,1467.033641
53500000,1583,1467.303556
53600000,1916,1467.572966
53700000,1458,1467.841875
53800000,1709,1468.110284
53900000,1500,1468.378194
54000000,1542,1468.645607
54100000,1667,1468.912526
54200000,1375,1469.178952
54300000,1875,1469.444886
54400000,1500,1469.710332
54500000,1500,1469.975289
54600000,1292,1470.239762
54700000,1083,1470.50375
54800000,1417,1470.767256
54900000,833,1471.030281
55000000,2000,1471.292828
55100000,1458,1471.554898
55200000,1500,1471.816493
55300000,1166,1472.077614
55400000,1792,1472.338264
55500000,1583,1472.598444
55600000,1833,1472.858155
55700000,1375,1473.117399
55800000,750,1473.376179
55900000,1750,1473.634495
56000000,1417,1473.892349
56100000,1167,1474.149744
56200000,833,1474.406679
56300000,1250,1474.663159
56400000,1542,1474.919183
56500000,1042,1475.174753
56600000,917,1475.429872
56700000,542,1475.68454
56800000,1334,1475.938759
56900000,1459,1476.192532
57000000,1375,1476.445858
57100000,1125,1476.698741
57200000,1625,1476.951181
57300000,625,1477.20318
57400000,1417,1477.45474
57500000,1542,1477.705862
57600000,1750,1477.956548
57700000,1083,1478.206798
57800000,1292,1478.456616
57900000,1500,1478.706001
58000000,1459,1478.954956
58100000,1333,1479.203483
58200000,1542,1479.451582
58300000,1125,1479.699255
58400000,1625,1479.946503
58500000,1917,1480.193329
58600000,1583,1480.439733
58700000,1167,1480.685717
58800000,1667,1480.931282
58900000,1208,1481.17643
59000000,1291,1481.421162
59100000,1625,1481.665479
59200000,1458,1481.909384
59300000,1500,1482.152877
59400000,1417,1482.39596
59500000,708,1482.638633
59600000,1333,1482.880899
59700000,1375,1483.12276
59800000,1625,1483.364215
59900000,875,1483.605267
60000000,875,1483.845916
60100000,1583,1484.086166
60200000,1625,1484.326015
60300000,1667,1484.565467
60400000,583,1484.804521
60500000,1500,1485.043181
60600000,1625,1485.281446
60700000,1500,1485.519318
60800000,1416,1485.756799
60900000,1375,1485.993889
61000000,1167,1486.230591
61100000,1792,1486.466904
61200000,1500,1486.702832
61300000,1167,1486.938374
61400000,1375,1487.173532
61500000,1417,1487.408307
61600000,1541,1487.642702
61700000,1542,1487.876715
61800000,1333,1488.11035
61900000,1166,1488.343607
62000000,1541,1488.576488
62100000,1667,1488.808993
62200000,1166,1489.041124
62300000,1791,1489.272883
62400000,1250,1489.504269
62500000,708,1489.735285
62600000,1208,1489.965932
62700000,1416,1490.196211
62800000,1584,1490.426122
62900000,1292,1490.655668
63000000,1666,1490.884849
63100000,1125,1491.113667
63200000,1542,1491.342122
63300000,1500,1491.570216
63400000,1292,1491.79795
63500000,1334,1492.025326
63600000,1583,1492.252343
63700000,1125,1492.479004
63800000,1750,1492.705309
63900000,584,1492.93126
64000000,1666,1493.156857
64100000,875,1493.382102
64200000,709,1493.606996
64300000,1542,1493.83154
64400000,1333,1494.055735
64500000,1458,1494.279582
64600000,1667,1494.503083
64700000,1458,1494.726238
64800000,1292,1494.949048
64900000,1583,1495.171514
65000000,875,1495.393638
65100000,1167,1495.615421
65200000,1250,1495.836863
65300000,1333,1496.057966
65400000,1625,1496.27873
65500000,1417,1496.499157
65600000,1292,1496.719248
65700000,1125,1496.939003
65800000,750,1497.158425
65900000,1333,1497.377513
66000000,1417,1497.596269
66100000,1500,1497.814694
66200000,1750,1498.032788
66300000,1250,1498.250553
66400000,1667,1498.467991
66500000,1625,1498.6851
66600000,1334,1498.901884
66700000,1291,1499.118343
66800000,709,1499.334477
66900000,1375,1499.550288
67000000,1167,1499.765776
67100000,1292,1499.980943
67200000,1833,1500.19579
67300000,1041,1500.410317
67400000,709,1500.624526
67500000,1625,1500.838417
67600000,1542,1501.051991
67700000,1333,1501.26525
67800000,1625,1501.478194
67900000,1542,1501.690824
68000000,1125,1501.903141
68100000,1666,1502.115146
68200000,1375,1502.32684
68300000,1750,1502.538224
68400000,1417,1502.749299
68500000,1500,1502.960065
68600000,1667,1503.170524
68700000,1000,1503.380676
68800000,1500,1503.590523
68900000,1625,1503.800065
69000000,4542,1504.009303
69100000,1250,1504.218237
69200000,1417,1504.42687
69300000,4250,1504.635202
69400000,1625,1504.843233
69500000,1875,1505.050964
69600000,1916,1505.258397
69700000,958,1505.465532
69800000,1541,1505.67237
69900000,583,1505.878912
70000000,2041,1506.085159
70100000,2042,1506.291111
70200000,1750,1506.496769
70300000,1250,1506.702135
70400000,875,1506.907209
70500000,1250,1507.111992
70600000,1709,1507.316485
70700000,1166,1507.520688
70800000,1417,1507.724602
70900000,1667,1507.928229
71000000,1541,1508.131569
71100000,1958,1508.334622
71200000,1792,1508.537391
71300000,1542,1508.739874
71400000,1541,1508.942074
71500000,750,1509.143991
71600000,1334,1509.345625
71700000,1542,1509.546978
71800000,1625,1509.748051
71900000,1709,1509.948843
72000000,1625,1510.149357
72100000,1875,1510.349592
72200000,1000,1510.54955
72300000,1583,1510.749231
72400000,1542,1510.948636
72500000,1459,1511.147766
72600000,1500,1511.346621
72700000,1334,1511.545203
72800000,1625,1511.743511
72900000,917,1511.941548
73000000,1625,1512.139313
73100000,916,1512.336807
73200000,1625,1512.534031
73300000,1792,1512.730986
73400000,1333,1512.927673
73500000,1458,1513.124091
73600000,1250,1513.320243
73700000,1708,1513.516128
73800000,666,1513.711748
73900000,1625,1513.907103
74000000,1208,1514.102193
74100000,1250,1514.297021
74200000,1666,1514.491585
74300000,1666,1514.685887
74400000,1417,1514.879929
74500000,1208,1515.073709
74600000,1041,1515.267229
74700000,1625,1515.460491
74800000,1833,1515.653493
74900000,1750,1515.846238
75000000,1292,1516.038726
75100000,1834,1516.230957
75200000,1083,1516.422933
75300000,1791,1516.614653
75400000,1333,1516.806119
75500000,1333,1516.997331
75600000,708,1517.18829
75700000,1083,1517.378996
75800000,1625,1517.569451
75900000,1291,1517.759655
76000000,1334,1517.949608
76100000,791,1518.139312
76200000,1458,1518.328766
76300000,1125,1518.517972
76400000,1916,1518.70693
76500000,1333,1518.895641
76600000,1667,1519.084106
76700000,1667,1519.272324
76800000,1334,1519.460298
76900000,1709,1519.648026
77000000,1292,1519.835511
77100000,1833,1520.022752
77200000,1334,1520.209751
77300000,1208,1520.396508
77400000,1666,1520.583023
77500000,1667,1520.769297
77600000,1667,1520.955332
77700000,1250,1521.141126
77800000,1625,1521.326682
77900000,1334,1521.511999
78000000,1667,1521.697079
78100000,1333,1521.881921
78200000,792,1522.066527
78300000,1250,1522.250897
78400000,1583,1522.435032
78500000,1000,1522.618932
78600000,1584,1522.802598
78700000,1625,1522.98603
78800000,1500,1523.169229
78900000,1500,1523.352196
79000000,1333,1523.534932
