n,time,log
7210000,1958,1333.788139
7220000,1542,1334.028089
7230000,1292,1334.267706
7240000,1792,1334.506992
7250000,1250,1334.745948
7260000,1333,1334.984574
7270000,1667,1335.222872
7280000,1750,1335.460842
7290000,1000,1335.698486
7300000,959,1335.935804
7310000,1375,1336.172797
7320000,1250,1336.409466
7330000,666,1336.645812
7340000,1291,1336.881836
7350000,1667,1337.117538
7360000,1500,1337.35292
7370000,1458,1337.587983
7380000,1250,1337.822726
7390000,1625,1338.057152
7400000,1250,1338.291261
7410000,1833,1338.525053
7420000,1084,1338.758531
7430000,1709,1338.991694
7440000,1125,1339.224543
7450000,1500,1339.457079
7460000,1209,1339.689304
7470000,1125,1339.921217
7480000,1417,1340.152821
7490000,1292,1340.384115
7500000,1750,1340.6151
7510000,1000,1340.845777
7520000,1166,1341.076148
7530000,1292,1341.306212
7540000,1709,1341.535971
7550000,1750,1341.765426
7560000,1167,1341.994576
7570000,1458,1342.223424
7580000,1667,1342.45197
7590000,1333,1342.680215
7600000,1166,1342.908159
7610000,1209,1343.135803
7620000,1875,1343.363148
7630000,1209,1343.590195
7640000,1542,1343.816945
7650000,1083,1344.043398
7660000,1459,1344.269555
7670000,1125,1344.495418
7680000,1375,1344.720986
7690000,1584,1344.94626
7700000,1375,1345.171242
7710000,1291,1345.395932
7720000,1541,1345.62033
7730000,1709,1345.844438
7740000,1709,1346.068256
7750000,1042,1346.291786
7760000,1375,1346.515027
7770000,1209,1346.73798
7780000,1542,1346.960647
7790000,958,1347.183028
7800000,1291,1347.405123
7810000,1292,1347.626934
7820000,1375,1347.848461
7830000,1209,1348.069705
7840000,1209,1348.290667
7850000,1875,1348.511347
7860000,1875,1348.731746
7870000,1000,1348.951865
7880000,959,1349.171704
7890000,1583,1349.391264
7900000,500,1349.610547
7910000,1500,1349.829552
7920000,1291,1350.04828
7930000,1541,1350.266732
7940000,1708,1350.484909
7950000,1375,1350.702812
7960000,1750,1350.92044
7970000,1250,1351.137795
7980000,1167,1351.354878
7990000,1708,1351.571689
8000000,1834,1351.788228
8010000,4083,1352.004497
8020000,1167,1352.220497
8030000,4083,1352.436227
8040000,2542,1352.651688
8050000,1959,1352.866882
8060000,1459,1353.081809
8070000,1041,1353.296469
8080000,1542,1353.510863
8090000,1500,1353.724993
8100000,1375,1353.938857
8110000,1542,1354.152458
8120000,1792,1354.365796
8130000,4042,1354.578871
8140000,958,1354.791684
8150000,1208,1355.004235
8160000,1250,1355.216527
8170000,1041,1355.428558
8180000,1500,1355.640329
8190000,1208,1355.851843
8200000,1792,1356.063097
8210000,1166,1356.274095
8220000,1667,1356.484836
8230000,1625,1356.69532
8240000,875,1356.905549
8250000,2542,1357.115523
8260000,666,1357.325242
8270000,1542,1357.534708
8280000,1333,1357.74392
8290000,1834,1357.952881
8300000,1083,1358.161589
8310000,1625,1358.370046
8320000,1208,1358.578252
8330000,1792,1358.786208
8340000,4500,1358.993914
8350000,1333,1359.201372
8360000,1291,1359.408581
8370000,1209,1359.615543
8380000,1333,1359.822258
8390000,1708,1360.028726
8400000,1416,1360.234948
8410000,1125,1360.440924
8420000,1042,1360.646656
8430000,917,1360.852144
8440000,1250,1361.057388
8450000,1708,1361.262389
8460000,1542,1361.467148
8470000,1916,1361.671665
8480000,1750,1361.87594
8490000,1458,1362.079975
8500000,958,1362.283769
8510000,1375,1362.487324
8520000,959,1362.69064
8530000,1209,1362.893717
8540000,1750,1363.096557
8550000,1750,1363.299159
8560000,1500,1363.501524
8570000,1875,1363.703653
8580000,1250,1363.905546
8590000,1459,1364.107204
8600000,1792,1364.308627
8610000,1584,1364.509817
8620000,1250,1364.710773
8630000,1875,1364.911495
8640000,1334,1365.111986
8650000,1625,1365.312244
8660000,1958,1365.512271
8670000,791,1365.712068
8680000,1625,1365.911633
8690000,875,1366.11097
8700000,834,1366.310076
8710000,1292,1366.508955
8720000,1417,1366.707605
8730000,1166,1366.906027
8740000,1500,1367.104222
8750000,1500,1367.30219
8760000,1500,1367.499933
8770000,1667,1367.697449
8780000,1375,1367.894741
8790000,1583,1368.091808
8800000,1209,1368.288651
8810000,2000,1368.485271
8820000,1250,1368.681667
8830000,959,1368.877841
8840000,959,1369.073793
8850000,1500,1369.269523
8860000,1125,1369.465032
8870000,1375,1369.660321
8880000,1875,1369.85539
8890000,1750,1370.050239
8900000,958,1370.244869
8910000,709,1370.43928
8920000,1750,1370.633474
8930000,1166,1370.827449
8940000,1417,1371.021208
8950000,1833,1371.21475
8960000,1500,1371.408076
8970000,1708,1371.601187
8980000,4541,1371.794082
8990000,1417,1371.986762
9000000,1333,1372.179228
9010000,1333,1372.371481
9020000,1125,1372.56352
9030000,1333,1372.755347
9040000,1292,1372.946961
9050000,2042,1373.138363
9060000,1250,1373.329554
9070000,2541,1373.520534
9080000,1542,1373.711304
9090000,1250,1373.901864
9100000,1500,1374.092214
9110000,1416,1374.282355
9120000,1500,1374.472287
9130000,1834,1374.662012
9140000,1375,1374.851528
9150000,1167,1375.040838
9160000,1542,1375.22994
9170000,1417,1375.418836
9180000,1167,1375.607527
9190000,1708,1375.796012
9200000,1000,1375.984292
9210000,1000,1376.172367
9220000,1459,1376.360238
9230000,1542,1376.547906
9240000,1500,1376.735371
9250000,1292,1376.922632
9260000,1167,1377.109692
9270000,1666,1377.296549
9280000,1250,1377.483205
9290000,1708,1377.66966
9300000,1459,1377.855914
9310000,1625,1378.041968
9320000,1709,1378.227823
9330000,1542,1378.413478
9340000,1500,1378.598934
9350000,1208,1378.784192
9360000,1375,1378.969252
9370000,1583,1379.154114
9380000,875,1379.338779
9390000,1250,1379.523247
9400000,1334,1379.707519
9410000,1500,1379.891595
9420000,1584,1380.075475
9430000,1708,1380.259161
9440000,1375,1380.442651
9450000,1958,1380.625948
9460000,1750,1380.80905
9470000,1625,1380.991959
9480000,1416,1381.174675
9490000,1125,1381.357199
9500000,1042,1381.53953
9510000,1542,1381.721669
9520000,1625,1381.903617
9530000,1541,1382.085374
9540000,1708,1382.26694
9550000,1708,1382.448316
9560000,1333,1382.629503
9570000,1541,1382.810499
9580000,1875,1382.991307
9590000,2791,1383.171926
9600000,1542,1383.352357
9610000,1750,1383.5326
9620000,1417,1383.712656
9630000,1667,1383.892524
9640000,1375,1384.072206
9650000,1458,1384.251701
9660000,1333,1384.431011
9670000,1583,1384.610135
9680000,1000,1384.789074
9690000,1667,1384.967828
9700000,1417,1385.146398
9710000,1250,1385.324784
9720000,1167,1385.502986
9730000,2000,1385.681005
9740000,1459,1385.858841
9750000,1917,1386.036495
9760000,1167,1386.213966
9770000,1125,1386.391256
9780000,1292,1386.568364
9790000,1667,1386.745291
9800000,1625,1386.922038
9810000,1875,1387.098605
9820000,2875,1387.274991
9830000,1333,1387.451198
9840000,1250,1387.627226
9850000,1792,1387.803075
9860000,1375,1387.978746
9870000,667,1388.154238
9880000,1625,1388.329553
9890000,1584,1388.504691
9900000,1791,1388.679651
9910000,1875,1388.854435
9920000,959,1389.029043
9930000,1625,1389.203474
9940000,1459,1389.377731
9950000,1625,1389.551811
9960000,1417,1389.725717
9970000,1209,1389.899449
9980000,1167,1390.073006
9990000,1167,1390.24639
